Data Representation,Model,Accuracy,Precision,Recall,F1 Score
Raw Data,Logistic Regression,0.922 ± 0.007,0.923 ± 0.007,0.922 ± 0.007,0.922 ± 0.007
Raw Data,Decision Tree,0.902 ± 0.009,0.903 ± 0.009,0.902 ± 0.009,0.902 ± 0.009
Raw Data,Random Forest,0.916 ± 0.004,0.916 ± 0.003,0.916 ± 0.004,0.916 ± 0.004
Raw Data,XGBoost,0.921 ± 0.006,0.922 ± 0.006,0.921 ± 0.006,0.921 ± 0.006
Raw Data,Naive Bayes,0.899 ± 0.007,0.900 ± 0.007,0.899 ± 0.007,0.899 ± 0.007
PCA,Logistic Regression,0.882 ± 0.007,0.882 ± 0.007,0.882 ± 0.007,0.881 ± 0.007
PCA,Decision Tree,0.858 ± 0.009,0.858 ± 0.009,0.858 ± 0.009,0.857 ± 0.009
PCA,Random Forest,0.880 ± 0.006,0.880 ± 0.007,0.880 ± 0.006,0.879 ± 0.006
PCA,XGBoost,0.884 ± 0.007,0.884 ± 0.007,0.884 ± 0.007,0.883 ± 0.007
PCA,Naive Bayes,0.872 ± 0.007,0.873 ± 0.007,0.872 ± 0.007,0.870 ± 0.007
LDA,Logistic Regression,0.836 ± 0.008,0.838 ± 0.009,0.836 ± 0.008,0.834 ± 0.008
LDA,Decision Tree,0.851 ± 0.004,0.852 ± 0.004,0.851 ± 0.004,0.851 ± 0.004
LDA,Random Forest,0.867 ± 0.008,0.869 ± 0.008,0.867 ± 0.008,0.867 ± 0.007
LDA,XGBoost,0.870 ± 0.008,0.872 ± 0.008,0.870 ± 0.008,0.870 ± 0.007
LDA,Naive Bayes,0.826 ± 0.008,0.835 ± 0.008,0.826 ± 0.008,0.820 ± 0.009
